target,jsonfile
hola amigo,p1.json
hola como has estado todos estos años,p2.json
muy bien gracias,p3.json
pense que estabas viviendo fuera del pais,p4.json
si estuve viviendo mucho tiempo en francia,p5.json
te gustaria cenar algun dia,p6.json
me encanta la idea,p7.json
te dejo mi numero para definir el horario y lugar,p8.json
me parece genial,p9.json
no vemos,p10.json
donde has estado,p11.json
en la casa de un amigo,p12.json
cual amigo,p13.json
no lo conoces,p14.json
esta conversacion no ha terminado,p15.json
ya lo creo,p16.json
necesito pedirte un favor,p17.json
tu abuela esta enferma y necesito enviarle esta canasta con algunos alimentos,p18.json
le llevo esta canasta a la abuelita,p19.json
exactamente,p20.json
excelente me encanta ver a la abuela,p21.json
me alegro,p22.json
le encanta recibirte,p23.json
voy ya mismo,p24.json
gracias,p25.json
recuerda seguir el camino de siempre,p26.json
no hables con desconocidos,p27.json
no te preocupes tendre mucho cuidado,p28.json
hasta luego,p29.json
buen dia,p30.json
buenos dias,p31.json
puedo ayudarle,p32.json
necesito dos piezas de pan por favor,p33.json
algo mas,p34.json
nada mas,p35.json
cuanto le debo,p36.json
treinta pesos,p37.json
aqui tiene,p38.json
muchas gracias,p39.json
de nada,p40.json
buenas tardes,p41.json
disculpe,p42.json
si digame,p43.json
vio un gato negro pasar,p44.json
pasaron varios hoy,p45.json
tiene la cola gris,p46.json
lo vi en direccion al parque,p47.json
muchas gracias hasta luego,p48.json
mucha suerte,p49.json
ese es el auto,p50.json
no el mio es blanco,p51.json
